,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,AandH_SEVEN_AC,AandH_SEVEN_AF,AandH_SEVEN_AR,AandH_SEVEN_AS,AandH_SEVEN_AST,AandH_SEVEN_AY,AandH_SEVEN_FTAG,AandH_SEVEN_FTHG,AandH_SEVEN_FTR_A,AandH_SEVEN_FTR_D,AandH_SEVEN_FTR_H,AandH_SEVEN_HC,AandH_SEVEN_HF,AandH_SEVEN_HR,AandH_SEVEN_HS,AandH_SEVEN_HST,AandH_SEVEN_HTAG,AandH_SEVEN_HTHG,AandH_SEVEN_HTR_A,AandH_SEVEN_HTR_D,AandH_SEVEN_HTR_H,AandH_SEVEN_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,HandA_SEVEN_AC,HandA_SEVEN_AF,HandA_SEVEN_AR,HandA_SEVEN_AS,HandA_SEVEN_AST,HandA_SEVEN_AY,HandA_SEVEN_FTAG,HandA_SEVEN_FTHG,HandA_SEVEN_FTR_A,HandA_SEVEN_FTR_D,HandA_SEVEN_FTR_H,HandA_SEVEN_HC,HandA_SEVEN_HF,HandA_SEVEN_HR,HandA_SEVEN_HS,HandA_SEVEN_HST,HandA_SEVEN_HTAG,HandA_SEVEN_HTHG,HandA_SEVEN_HTR_A,HandA_SEVEN_HTR_D,HandA_SEVEN_HTR_H,HandA_SEVEN_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,probs_A,probs_D,probs_H,probs,pred,WIN,WIN_P,INFO_ODD,INFO_ODD_BET,prob_less_bet
29312,4.2,10.8,0.0,11.0,3.4,1.8,0.6,1.8,0.0,0.4,0.6,6.4,12.0,0.0,14.4,4.8,0.2,1.4,0.0,0.2,0.8,1.8,3.33,10.33,0.0,10.33,3.0,2.33,0.67,2.0,0.0,0.67,0.33,8.0,11.67,0.0,16.33,5.0,0.33,1.33,0.0,0.33,0.67,1.67,1.25,-0.5,0.0,0.5,0.75,-0.25,-0.25,0.0,0.0,-0.25,0.25,-0.75,-1.25,0.0,-0.5,-0.5,-0.25,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.5,-0.5,0.5,-1.0,-1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-0.5,-1.5,-0.5,-1.0,0.0,0.5,-0.5,0.0,4.0,10.0,0.0,12.57,3.43,2.0,0.57,1.71,0.29,0.57,0.14,6.0,11.43,0.0,15.29,5.0,0.29,0.86,0.14,0.57,0.29,1.71,4.2,13.8,0.2,8.0,3.8,3.2,1.2,1.6,0.0,0.6,0.4,8.6,9.8,0.0,17.0,6.2,0.6,0.6,0.2,0.6,0.2,2.4,2.67,14.67,0.0,8.33,5.33,4.0,1.67,1.67,0.0,1.0,0.0,8.33,9.0,0.0,18.67,7.0,0.67,0.33,0.33,0.67,0.0,2.67,2.5,-1.75,0.0,1.75,-0.75,0.0,-0.5,-0.25,0.0,-0.25,0.25,-0.25,0.0,0.0,-2.5,-1.25,-0.25,0.0,0.0,-0.25,0.25,0.0,1.5,1.0,0.0,5.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,0.0,-5.0,-1.5,0.0,-0.5,0.5,-0.5,0.0,0.5,6.43,8.71,0.0,16.29,5.0,2.57,1.57,1.14,0.29,0.57,0.14,3.29,13.43,0.0,8.0,3.86,0.86,0.57,0.43,0.43,0.14,3.29,Burnley,11.61,5.81,1.27,2014-11-01,E0,0.0,3.0,H,D,Arsenal,13.23,6.21,1.28,1.27,1.28,0.171018540859,0.22851729393,0.600464165211,0.600464165211,H,0.27,0.28,0,1.27,-0.186937409592
29313,3.0,7.8,0.0,9.6,2.2,1.4,0.2,2.6,0.0,0.0,1.0,7.4,10.4,0.0,18.8,9.2,0.0,1.6,0.0,0.2,0.8,1.2,3.0,10.0,0.0,9.67,2.33,1.0,0.33,2.67,0.0,0.0,1.0,5.33,11.0,0.0,16.33,7.0,0.0,1.33,0.0,0.33,0.67,1.67,-1.25,-2.0,0.0,0.0,0.0,0.25,0.0,-0.25,0.0,0.0,0.0,1.75,-0.75,0.0,4.0,4.25,0.0,0.0,0.0,0.0,0.0,-0.25,-2.0,-1.5,0.0,-0.5,-0.5,-1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.5,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,-0.5,4.57,9.29,0.0,13.43,3.86,1.14,1.14,1.86,0.14,0.14,0.71,4.14,12.29,0.0,14.71,6.0,0.43,0.71,0.0,0.43,0.57,2.29,3.4,11.6,0.0,8.0,2.0,2.4,0.4,2.2,0.0,0.2,0.8,6.2,11.4,0.0,20.2,6.8,0.2,0.6,0.0,0.6,0.4,1.4,2.67,10.0,0.0,9.33,1.0,2.67,0.67,3.0,0.0,0.0,1.0,6.0,12.33,0.0,17.0,6.67,0.33,1.0,0.0,0.33,0.67,2.0,0.0,1.75,0.0,-1.0,0.75,0.0,0.0,-0.5,0.0,0.25,-0.25,0.75,-1.25,0.0,4.5,0.25,0.0,-0.25,0.0,0.25,-0.25,-0.75,1.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.5,-1.0,0.0,12.0,3.0,0.5,0.0,0.0,0.5,-0.5,-2.0,4.43,12.29,0.29,13.14,5.57,2.71,2.71,1.14,0.29,0.29,0.43,5.29,11.29,0.29,12.43,3.57,0.86,0.29,0.29,0.43,0.29,2.29,QPR,16.97,7.6,1.17,2014-11-01,E0,1.0,2.0,H,H,Chelsea,19.99,7.8,1.19,1.17,1.19,0.178176552057,0.240617364645,0.581206083298,0.581206083298,H,0.17,0.19,0,1.17,-0.273494771403
29314,2.6,13.6,0.2,8.8,3.2,2.4,1.6,1.6,0.4,0.2,0.4,6.0,14.0,0.0,19.0,4.8,1.0,0.4,0.4,0.6,0.0,2.0,3.33,11.0,0.33,10.33,2.67,1.67,1.0,2.0,0.0,0.33,0.67,6.67,14.0,0.0,20.33,5.0,0.67,0.67,0.0,1.0,0.0,2.0,-0.5,2.0,0.0,-1.25,-0.25,0.5,0.5,-0.25,0.25,0.0,-0.25,0.75,-0.75,0.0,0.75,0.25,0.25,-0.25,0.25,-0.25,0.0,-0.5,-0.5,2.0,0.0,-1.0,-1.5,1.0,0.5,1.0,0.0,0.0,0.0,2.0,-2.5,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.43,10.29,0.29,9.86,3.71,1.0,1.43,1.29,0.14,0.29,0.57,4.86,12.86,0.0,15.14,4.14,0.86,0.43,0.0,0.71,0.29,2.14,2.6,14.4,0.0,12.6,4.4,2.8,2.8,2.4,0.6,0.2,0.2,5.0,7.8,0.0,13.2,5.0,1.0,1.2,0.4,0.2,0.4,1.2,2.33,15.0,0.0,10.67,4.33,2.33,3.0,2.67,0.67,0.0,0.33,6.0,8.67,0.0,16.33,6.33,1.0,1.0,0.33,0.33,0.33,1.67,-0.25,-1.75,0.0,2.0,1.0,0.25,0.75,-0.25,0.25,0.0,-0.25,0.25,-2.0,0.0,-1.5,-0.5,0.5,0.0,0.25,0.0,-0.25,-0.5,-1.0,0.0,0.0,1.0,3.0,0.5,3.0,0.0,0.5,0.0,-0.5,2.5,-2.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,-0.5,-0.5,4.43,8.71,0.0,13.71,5.71,2.0,2.14,1.86,0.57,0.14,0.29,5.71,13.57,0.0,13.71,4.14,0.86,0.71,0.43,0.29,0.29,2.71,Swansea,5.15,3.64,1.72,2014-11-01,E0,0.0,0.0,D,D,Everton,5.39,3.85,1.74,3.64,3.85,0.245294928551,0.267039120197,0.48766592145,0.48766592145,H,-1.0,-1.0,0,1.72,-0.0937294273875
29315,5.8,10.6,0.0,13.2,5.0,1.8,1.2,0.8,0.6,0.0,0.4,3.8,11.2,0.2,8.4,3.2,0.2,0.6,0.0,0.6,0.4,1.2,6.0,12.33,0.0,12.0,5.0,2.0,1.33,0.67,0.67,0.0,0.33,4.67,12.33,0.33,6.0,2.67,0.33,0.67,0.0,0.67,0.33,1.33,0.0,-1.0,0.0,2.75,0.25,0.0,0.25,-0.25,0.25,0.0,-0.25,-1.75,-1.0,0.0,0.75,-0.25,0.0,-0.25,0.0,0.25,-0.25,-0.25,2.0,2.0,0.0,5.5,2.5,0.0,1.5,0.0,0.5,0.0,-0.5,-4.0,-2.0,0.0,-2.5,-1.0,0.5,0.0,0.0,0.5,-0.5,0.0,5.71,12.14,0.0,15.0,6.29,1.29,2.71,0.43,0.29,0.0,0.71,4.43,10.71,0.14,8.14,2.29,1.0,0.29,0.0,0.43,0.57,1.71,6.8,9.0,0.0,15.4,3.8,1.8,1.8,1.4,0.4,0.4,0.2,4.4,9.2,0.2,11.4,3.6,0.6,0.8,0.2,0.4,0.4,1.0,8.33,9.0,0.0,15.67,4.0,1.67,2.0,2.0,0.33,0.33,0.33,4.0,9.33,0.0,12.0,4.33,0.67,1.0,0.0,0.67,0.33,1.33,-0.75,-1.5,0.0,0.0,0.5,-0.25,0.5,-0.5,0.25,0.0,-0.25,0.0,0.5,0.0,-0.75,0.25,0.25,0.0,0.25,-0.25,0.0,-0.25,1.5,-3.5,0.0,2.5,1.0,-0.5,1.0,0.0,0.0,0.5,-0.5,-1.5,3.0,0.0,-2.0,2.0,0.0,0.5,0.0,-0.5,0.5,1.0,3.14,11.29,0.0,9.29,3.71,2.0,1.57,1.71,0.14,0.57,0.29,8.0,9.71,0.0,17.86,5.14,0.57,0.71,0.0,0.71,0.29,2.14,Southampton,2.01,3.42,3.85,2014-11-01,E0,1.0,0.0,A,A,Hull,2.03,3.61,4.01,2.01,2.03,0.450518131256,0.279952436686,0.269529402256,0.450518131256,A,1.01,1.03,0,2.01,-0.0469943065548
29316,4.8,11.4,0.0,11.0,3.0,1.6,0.4,1.4,0.2,0.2,0.6,4.0,12.4,0.0,11.8,4.4,0.0,1.0,0.0,0.4,0.6,1.2,6.33,10.0,0.0,11.33,3.33,2.0,0.67,1.67,0.33,0.0,0.67,4.67,11.33,0.0,13.67,5.33,0.0,1.0,0.0,0.33,0.67,1.67,-1.25,-0.75,0.0,1.25,-0.25,-0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-2.25,-0.75,0.0,0.25,0.0,0.0,0.0,-0.5,1.0,-3.5,0.0,4.0,-1.0,0.0,-0.5,0.5,0.0,0.0,0.0,-2.5,-1.0,0.0,-2.0,0.5,0.0,0.5,0.0,0.0,0.0,-0.5,6.29,9.86,0.0,12.86,3.29,1.86,1.43,1.57,0.29,0.29,0.43,4.43,9.57,0.0,13.14,5.0,0.43,0.86,0.29,0.14,0.57,1.86,5.75,9.25,0.25,15.75,4.5,1.25,2.0,2.5,0.0,0.75,0.25,4.75,14.25,0.0,12.5,4.25,1.5,1.25,0.5,0.25,0.25,1.75,5.67,9.0,0.33,16.67,5.0,1.33,2.0,2.67,0.0,0.67,0.33,5.33,13.67,0.0,13.0,4.67,1.33,1.33,0.33,0.33,0.33,2.0,1.0,-0.667,0.0,1.0,-0.333,-0.333,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.333,-1.0,0.333,-0.333,0.333,0.0,-0.333,-0.333,3.5,-3.0,0.0,7.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,-2.0,-1.0,0.0,-3.0,-1.5,0.0,-0.5,0.0,0.5,-0.5,0.5,4.86,12.86,0.0,10.0,3.14,1.57,1.29,1.57,0.14,0.29,0.57,6.86,9.86,0.14,16.57,4.86,0.57,0.71,0.14,0.57,0.29,1.0,West Brom,3.2,3.37,2.27,2014-11-01,E0,1.0,0.0,A,D,Leicester,3.27,3.46,2.35,3.2,3.27,0.371496766806,0.295746147633,0.332757085562,0.371496766806,A,2.2,2.27,0,3.2,0.0589967668056
29317,4.8,11.2,0.0,16.0,6.0,2.4,2.2,2.2,0.4,0.2,0.4,6.8,12.0,0.0,10.8,4.8,0.6,0.6,0.4,0.2,0.4,1.8,3.33,12.33,0.0,14.33,6.0,2.67,2.33,1.67,0.67,0.0,0.33,7.0,13.33,0.0,11.67,4.67,0.67,0.67,0.33,0.33,0.33,2.0,1.25,-0.75,0.0,2.75,1.0,0.0,0.0,0.25,-0.25,0.25,0.0,0.0,-0.75,0.0,-1.25,0.0,0.25,0.0,0.25,-0.25,0.0,0.0,0.5,-2.0,0.0,1.0,1.5,0.5,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,-4.0,-2.5,0.5,0.0,0.5,-0.5,0.0,-1.0,6.29,11.14,0.0,17.29,5.43,2.43,1.43,1.14,0.43,0.29,0.29,5.0,13.0,0.0,9.29,3.86,0.43,0.43,0.29,0.43,0.29,1.71,4.4,12.4,0.0,11.6,4.0,2.6,1.4,1.8,0.2,0.4,0.4,7.6,10.6,0.0,19.2,4.6,0.4,0.4,0.2,0.6,0.2,1.4,4.33,15.0,0.0,9.67,4.0,2.67,1.67,2.0,0.0,0.67,0.33,8.33,12.0,0.0,20.67,5.67,0.33,0.33,0.0,1.0,0.0,1.67,-0.25,-2.25,0.0,2.25,0.25,-0.75,0.0,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.75,0.0,0.0,0.25,0.0,-0.25,0.25,0.25,-1.5,2.0,0.0,2.5,2.5,0.0,1.5,1.0,0.0,0.5,-0.5,0.5,-0.5,0.0,-0.5,-1.0,0.5,0.5,0.0,0.0,0.0,0.5,6.14,12.14,0.0,14.86,4.0,2.29,1.43,1.86,0.14,0.43,0.43,4.71,14.29,0.0,11.29,4.14,0.29,0.86,0.0,0.57,0.43,1.71,Liverpool,2.01,3.54,3.72,2014-11-01,E0,0.0,1.0,H,D,Newcastle,2.05,3.74,3.77,3.72,3.77,0.337484389544,0.256598234177,0.405917406082,0.405917406082,H,2.72,2.77,0,3.72,0.137100201781
29318,7.4,9.8,0.0,14.2,4.4,2.0,1.8,1.6,0.4,0.2,0.4,6.6,9.2,0.2,14.6,4.6,0.6,0.8,0.2,0.2,0.6,1.4,9.0,9.67,0.0,17.0,4.67,1.67,2.0,1.67,0.33,0.33,0.33,5.0,8.33,0.33,12.0,4.0,0.33,1.0,0.0,0.33,0.67,1.33,-1.5,-0.25,0.0,-4.75,-1.5,0.25,-0.75,0.25,-0.25,0.0,0.25,1.75,1.0,0.0,2.75,1.0,0.0,0.25,0.0,-0.25,0.25,0.5,1.5,-1.5,0.0,-3.0,-1.0,0.0,-0.5,0.5,-0.5,0.5,0.0,-1.0,4.5,0.0,-3.0,1.5,0.0,0.5,0.0,-0.5,0.5,1.5,6.71,11.14,0.0,13.0,4.29,2.14,2.0,1.43,0.29,0.14,0.57,6.0,10.57,0.14,13.71,4.71,0.86,0.71,0.0,0.29,0.71,1.29,6.2,11.8,0.0,10.8,2.2,1.6,0.8,1.4,0.4,0.0,0.6,4.6,13.6,0.0,17.6,4.0,0.2,0.6,0.0,0.6,0.4,1.6,6.0,12.33,0.0,12.33,2.33,1.0,0.67,1.0,0.33,0.0,0.67,6.0,15.0,0.0,17.67,3.33,0.33,0.67,0.0,0.67,0.33,2.67,0.0,1.5,0.0,-0.75,-0.75,0.25,0.0,0.5,0.0,0.0,0.0,0.0,-2.0,0.0,1.5,1.25,-0.25,0.0,0.0,-0.25,0.25,-1.0,-1.0,4.0,0.0,-2.5,-2.0,-0.5,0.0,-1.0,0.5,0.0,-0.5,5.0,-4.5,0.0,3.5,0.5,-0.5,-0.5,0.0,0.0,0.0,-0.5,4.29,13.43,0.0,12.43,3.14,2.71,1.0,1.14,0.29,0.14,0.57,7.43,11.0,0.0,14.57,2.71,0.57,0.71,0.0,0.57,0.43,1.43,West Ham,3.12,3.29,2.36,2014-11-01,E0,2.0,2.0,D,H,Stoke,3.22,3.37,2.42,3.29,3.37,0.301782876253,0.28497159481,0.413245528936,0.413245528936,H,-1.0,-1.0,0,2.36,-0.0104832846229
29362,5.0,12.8,0.6,12.4,4.8,2.6,1.0,1.8,0.2,0.4,0.4,8.2,10.0,0.2,16.0,6.2,0.4,1.0,0.0,0.6,0.4,2.0,4.67,12.67,0.33,13.33,5.67,3.0,1.33,2.33,0.0,0.67,0.33,7.67,9.33,0.0,14.0,6.33,0.67,1.0,0.0,0.67,0.33,3.0,0.5,1.75,0.0,-1.75,-1.0,0.5,-0.25,-0.5,0.0,0.0,0.0,1.75,-0.25,0.0,0.0,-1.0,-0.25,0.0,0.0,0.0,0.0,-0.25,0.5,2.0,-0.5,-2.0,-0.5,-0.5,0.5,-1.0,0.0,0.5,-0.5,1.0,-0.5,0.0,-7.0,-5.5,0.0,-0.5,0.0,0.5,-0.5,2.0,7.14,12.57,0.14,11.43,3.57,2.14,0.86,1.86,0.43,0.29,0.29,5.71,9.57,0.0,12.0,5.14,0.57,0.57,0.14,0.43,0.43,2.86,6.2,8.4,0.2,12.6,3.8,1.6,1.4,1.0,0.4,0.2,0.4,4.6,9.8,0.0,9.4,3.2,0.8,1.0,0.2,0.4,0.4,1.2,6.33,8.33,0.0,15.0,4.33,2.67,2.0,0.67,0.67,0.0,0.33,2.67,8.0,0.0,7.67,2.33,1.0,0.67,0.33,0.33,0.33,0.67,-0.5,0.75,0.0,-5.0,-1.25,-0.25,-0.25,0.75,-0.25,0.0,0.25,2.0,2.5,0.0,2.25,2.0,0.25,0.75,0.0,-0.25,0.25,0.0,0.0,2.0,0.0,-9.0,-2.0,1.5,-0.5,1.0,-0.5,0.0,0.5,1.5,2.5,0.0,2.5,1.5,0.0,1.0,0.0,-0.5,0.5,0.5,3.43,10.43,0.0,8.57,2.43,1.29,0.43,2.0,0.43,0.0,0.57,5.71,9.57,0.0,15.14,4.57,0.43,0.86,0.29,0.14,0.57,2.0,Tottenham,2.05,3.4,3.72,2014-11-02,E0,2.0,1.0,A,H,Aston Villa,2.08,3.53,3.89,2.05,2.08,0.315041214228,0.263496220112,0.42146256566,0.42146256566,H,-1.0,-1.0,0,3.72,0.152645361359
29363,5.4,10.2,0.2,12.6,3.8,1.8,1.4,1.8,0.0,0.8,0.2,3.0,10.6,0.0,11.6,3.8,0.6,0.8,0.2,0.4,0.4,1.4,7.0,10.33,0.33,15.0,4.67,1.67,1.67,2.33,0.0,0.67,0.33,1.67,9.0,0.0,10.67,3.33,0.67,0.67,0.33,0.33,0.33,1.33,-2.25,-0.75,0.0,-3.5,-1.25,0.0,-0.25,-0.25,0.0,0.0,0.0,1.5,2.5,0.0,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-2.5,3.0,0.0,-7.5,-2.5,0.0,-1.0,-1.0,0.0,0.0,0.0,1.5,2.0,0.0,0.5,0.5,0.0,-0.5,0.0,0.5,-0.5,0.5,6.57,11.86,0.29,15.14,5.29,2.0,2.0,1.43,0.0,0.43,0.57,4.14,10.29,0.14,10.43,3.71,1.14,0.43,0.14,0.29,0.57,2.14,3.6,8.4,0.2,9.2,2.8,2.0,0.8,2.0,0.2,0.2,0.6,9.2,12.2,0.2,17.8,5.8,0.2,0.8,0.0,0.4,0.6,1.8,3.33,8.67,0.33,10.67,3.67,2.33,1.0,1.67,0.33,0.33,0.33,9.33,13.67,0.33,17.33,6.0,0.33,0.67,0.0,0.67,0.33,2.0,-0.75,0.0,-0.25,-4.0,-1.75,0.0,-0.25,-0.5,0.0,0.0,0.0,2.25,-1.0,0.0,2.0,-1.25,-0.25,-0.25,0.0,0.0,0.0,0.25,0.0,-2.0,-0.5,-6.0,-2.5,-0.5,0.0,-2.0,0.5,0.0,-0.5,4.0,1.5,0.0,-2.0,-5.0,-0.5,-1.0,0.0,0.5,-0.5,0.5,7.71,11.71,0.14,19.29,6.29,2.0,2.0,1.29,0.43,0.29,0.29,2.43,9.0,0.14,10.71,3.86,0.71,0.57,0.14,0.57,0.29,1.71,Man United,4.07,3.65,1.88,2014-11-02,E0,0.0,1.0,H,D,Man City,4.33,3.81,1.9,1.88,1.9,0.339739948511,0.264634072781,0.395625978708,0.395625978708,H,0.88,0.9,0,1.88,-0.136288914909
29376,3.2,10.4,0.0,11.4,3.2,1.8,0.6,2.2,0.2,0.4,0.4,5.6,12.4,0.0,16.4,5.8,0.4,1.0,0.2,0.4,0.4,1.6,4.33,10.33,0.0,14.0,4.33,2.33,0.0,3.0,0.0,0.33,0.67,4.67,11.0,0.0,18.33,7.33,0.0,1.33,0.0,0.33,0.67,1.0,-1.5,1.0,0.0,-1.0,0.0,-0.5,0.25,-2.0,0.25,0.0,-0.25,0.75,0.0,0.0,-0.75,-2.25,0.25,-0.75,0.25,0.0,-0.25,0.25,0.0,0.5,0.0,2.0,2.5,-0.5,0.0,-3.5,0.0,0.0,0.0,-0.5,-1.5,0.0,-1.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.43,10.71,0.0,11.71,3.29,2.86,0.71,2.0,0.14,0.43,0.43,3.86,12.43,0.14,14.71,5.57,0.43,1.0,0.14,0.43,0.43,1.71,5.8,9.8,0.2,15.0,5.2,2.4,1.6,1.4,0.4,0.4,0.2,5.4,12.0,0.2,11.2,4.6,0.8,0.0,0.6,0.4,0.0,1.2,4.33,8.67,0.33,10.67,3.0,2.0,0.67,1.0,0.33,0.33,0.33,4.67,13.0,0.33,12.33,4.33,0.33,0.0,0.33,0.67,0.0,1.0,1.25,1.25,-0.25,3.0,1.0,0.5,0.25,0.5,-0.25,0.25,0.0,1.0,-1.5,-0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,1.5,1.5,-0.5,-1.5,-1.0,1.0,-1.0,-0.5,-0.5,0.5,0.0,1.0,-0.5,-0.5,3.5,-0.5,-0.5,0.0,-0.5,0.5,0.0,0.5,4.14,13.29,0.14,11.14,4.43,1.57,1.57,1.57,0.29,0.43,0.29,6.14,9.43,0.14,14.14,3.57,0.57,0.43,0.29,0.71,0.0,1.86,Sunderland,3.73,3.35,2.07,2014-11-03,E0,3.0,1.0,A,A,Crystal Palace,3.96,3.48,2.08,3.73,3.96,0.284165859222,0.278912365437,0.436921745539,0.436921745539,H,-1.0,-1.0,0,2.07,-0.0461700419009
